Font Awesome Unicode Mappings
-----------------------------

Current used version is 3.0.2.
Mappings extracted from 'font-awesome.css'.
Font Awesome uses the Unicode Private Use Area (PUA).

See also http://fortawesome.github.com/Font-Awesome/

ICON NAME            GLYPH

glass                &#xf000;
music                &#xf001;
search               &#xf002;
envelope             &#xf003;
heart                &#xf004;
star                 &#xf005;
star-empty           &#xf006;
user                 &#xf007;
film                 &#xf008;
th-large             &#xf009;
th                   &#xf00a;
th-list              &#xf00b;
ok                   &#xf00c;
remove               &#xf00d;
zoom-in              &#xf00e;

zoom-out             &#xf010;
off                  &#xf011;
signal               &#xf012;
cog                  &#xf013;
trash                &#xf014;
home                 &#xf015;
file                 &#xf016;
time                 &#xf017;
road                 &#xf018;
download-alt         &#xf019;
download             &#xf01a;
upload               &#xf01b;
inbox                &#xf01c;
play-circle          &#xf01d;
repeat               &#xf01e;

refresh              &#xf021;
list-alt             &#xf022;
lock                 &#xf023;
flag                 &#xf024;
headphones           &#xf025;
volume-off           &#xf026;
volume-down          &#xf027;
volume-up            &#xf028;
qrcode               &#xf029;
barcode              &#xf02a;
tag                  &#xf02b;
tags                 &#xf02c;
book                 &#xf02d;
bookmark             &#xf02e;
print                &#xf02f;

camera               &#xf030;
font                 &#xf031;
bold                 &#xf032;
italic               &#xf033;
text-height          &#xf034;
text-width           &#xf035;
align-left           &#xf036;
align-center         &#xf037;
align-right          &#xf038;
align-justify        &#xf039;
list                 &#xf03a;
indent-left          &#xf03b;
indent-right         &#xf03c;
facetime-video       &#xf03d;
picture              &#xf03e;

pencil               &#xf040;
map-marker           &#xf041;
adjust               &#xf042;
tint                 &#xf043;
edit                 &#xf044;
share                &#xf045;
check                &#xf046;
move                 &#xf047;
step-backward        &#xf048;
fast-backward        &#xf049;
backward             &#xf04a;
play                 &#xf04b;
pause                &#xf04c;
stop                 &#xf04d;
forward              &#xf04e;

fast-forward         &#xf050;
step-forward         &#xf051;
eject                &#xf052;
chevron-left         &#xf053;
chevron-right        &#xf054;
plus-sign            &#xf055;
minus-sign           &#xf056;
remove-sign          &#xf057;
ok-sign              &#xf058;
question-sign        &#xf059;
info-sign            &#xf05a;
screenshot           &#xf05b;
remove-circle        &#xf05c;
ok-circle            &#xf05d;
ban-circle           &#xf05e;

